Movie,['Director(s)'],['Cast']
The Ladykillers,['Alexander Mackendrick'],"['Fred Griffiths', 'Harold Goodwin', 'Hélène Burls', 'Kenneth Connor', 'Michael Corcoran', 'Alec Guinness', 'Cecil Parker', 'Danny Green', 'Frankie Howerd', 'Herbert Lom', 'Jack Warner', 'Katie Johnson', 'Madge Brindley', 'Peter Sellers', 'Philip Stainton']"
Young Mr. Lincoln,['John Ford'],"['Clarence Wilson', 'Eddy Waller', 'Spencer Charters', 'Tiny Jones', 'Ward Bond', 'Alice Brady', 'Arleen Whelan', 'Donald Meek', 'Eddie Collins', 'Eddie Quillan', 'Henry Fonda', 'Judith Dickens', 'Marjorie Weaver', 'Pauline Moore', 'Richard Cromwell']"
Stories We Tell,['Sarah Polley'],"['Alex Hatz', 'Andrew Church', 'Cathy Gulkin', 'Deirdre Bowen', 'Geoffrey Bowes', 'Harry Gulkin', 'John Buchan', 'Justin Goodhand', 'Peter Evans', 'Pixie Bigelow', 'Rebecca Jenkins', 'Robert Macmillan', 'Susy Buchan', 'Tom Butler', 'Victoria Mitchell', 'Wayne Curnew', 'Harry Gulkin', 'John Buchan', 'Susy Buchan']"
A Bread Factory Part One: For the Sake of Gold,['Patrick Wang'],"['Aidan Pierce Brennan', 'Alyssa Maria App', 'Chris Conroy', 'Eugene Brell', 'George Young', 'Martina Arroyo', 'Noah Averbach-Katz', 'Noel Ramos', 'Rosemary Howard', 'Amy Carlson', 'Brian Murray', 'Elaine Bromka', 'Elisabeth Henry-Macari', 'George Young', ""Glynnis O'Connor"", 'James Marsters', 'Janeane Garofalo', 'Janet Hsieh', 'Jessica Pimentel', 'Nana Visitor', 'Philip Kerr', 'Trevor St. John', 'Tyne Daly', 'Zachary Sayle']"
The Act of Killing,"['Anonymous', 'Christine Cynn', 'Joshua Oppenheimer']","['Adi Zulkadry', 'Anwar Congo', 'Anwars Congo', 'Haji Anif', 'Haji Marzuki', 'Herman Koto', 'Ibrahim Sinik', 'Jusuf Kalla', 'Safit Pardede', 'Sakhyan Asmara', 'Soaduon Siregar', 'Syamsul Arifin', 'Yapto Soerjosoemarno', 'Anwar Congo']"
On the Waterfront,['Elia Kazan'],"['Abe Simon', 'Arthur Keegan', 'Don Blackman', 'James Westerfield', 'John F. Hamilton', 'John Heldabrand', 'Lee J. Cobb', 'Leif Erickson', 'Pat Henning', 'Rod Steiger', 'Rudy Bond', 'Tami Mauriello', 'Tony Galento', 'Karl Malden', 'Marlon Brando']"
Jafar Panahi's Taxi,['Jafar Panahi'],['Jafar Panahi']
Ida,['Pawel Pawlikowski'],"['Adam Szyszkowski', 'Afrodyta Weselak', 'Agata Kulesza', 'Agata Trzebuchowska', 'Anna Grzeszczak', 'Artur Janusiak', 'Dawid Ogrodnik', 'Dorota Kuduk', 'Halina Skoczynska', 'Izabela Dabrowska', 'Jan Wociech Poradowski', 'Jerzy Trela', 'Joanna Kulig', 'Krzysztof Brzezinski', 'Lukasz Jerzykowski', 'Marek Kasprzyk', 'Mariusz Jakus', 'Natalia Lagiewczyk', 'Pawel Burczyk', 'Agata Kulesza', 'Agata Trzebuchowska', 'Dawid Ogrodnik', 'Jerzy Trela']"
Beau Travail,['Claire Denis'],"['Adiatou Massudi', 'Bernardo Montet', 'Dan Herzberg', 'Dimitri Tsiapkinis', 'Gianfranco Poddighe', 'Giuseppe Molino', 'Jean-Yves Vivet', 'Marc Veh', 'Mickael Ravovski', 'Nicolas Duvauchelle', 'Richard Courcet', 'Thong Duy Nguyen', 'Denis Lavant', 'Grégoire Colin', 'Michel Subor']"
Her,['Spike Jonze'],"['Alia Janine', 'Amy Adams', 'Artt Butler', 'Bill Hader', 'Brian Johnson', 'Caroline Jaden Stussi', 'Cassandra Starr', 'Chris Pratt', 'Claudia Choi', 'Eric Pumphrey', 'Evelyn Edwards', 'Gabe Gomez', 'Gracie Prewitt', 'Jeremy Rabb', 'Joaquin Phoenix', 'Katherine Boecher', 'Kelly Sarah', 'Kim Farris', 'Kristen Wiig', 'Laura Colquhoun', 'Laura Kai Chen', 'Laura Meadows', 'Lisa Renee Pitts', 'Luka Jones', 'Lynn A. Freedman', 'Matt Letscher', 'May Lindstrom', 'Melanie Seacat', 'Nico David', 'Nicole Grother', 'Olivia Wilde', 'Pamela Roylance', 'Portia Doubleday', 'Rachel Ann Mullins', 'Rooney Mara', 'Sam Jaeger', 'Samantha Morton', 'Samantha Sarakanti', 'Scarlett Johansson', 'Spike Jonze', 'Tiffany Pulvino', 'Amy Adams', 'Chris Pratt', 'Joaquin Phoenix', 'Olivia Wilde', 'Rooney Mara', 'Samantha Morton', 'Scarlett Johansson']"
Uncut Gems,"['Ben Safdie', 'Joshua Safdie']","['Andrea Linsky', 'Ca$h Out', 'Eric Bogosian', 'Jacob Igielski', 'Keith Williams Richards', 'Lakeith Stanfield', 'Louis Anthony Arias', 'Maksud Agadjani', 'Noa Fisher', 'Paloma Elsesser', 'Roman Persits', 'Sean Ringgold', 'Tommy Kominik', 'Warren Finkelstein', 'Adam Sandler', 'Deneke Muhugeta', 'Habtunu Africho', 'Idina Menzel', 'Jacob Igielski', 'Jonathan Aranbayev', 'Julia Fox', 'Keith Williams Richards', 'Kevin Garnett', 'Lakeith Stanfield', 'Liang Wei-Hei Duncan', 'Mesfin Lamengo', 'Noa Fisher', 'Paloma Elsesser', 'Suin Zhi Hua-Hilton', 'Sunny Wu Jin Zahoo', 'The Weeknd', 'Tommy Kominik', 'Warren Finkelstein']"
Waltz with Bashir,['Ari Folman'],"['Dror Harazi', 'Gadi Erel', 'Mickey Leon', 'Ori Sivan', 'Shahar Sorek', 'Yehezkel Lazarov', 'Zahava Solomon', 'Ari Folman', 'Ron Ben-Yishai', 'Ronny Dayag']"
Memoria,['Apichatpong Weerasethakul'],"['Agnes Brekke', 'Constanza Gutierrez', 'Daniel Giménez Cacho', 'Daniel Toro', 'Elkin Díaz', 'Jeanne Balibar', 'Jerónimo Barón', 'Juan Pablo Urrego', 'Tilda Swinton']"
"This Is Not a Burial, It's a Resurrection",['Lemohang Jeremiah Mosese'],"['Aleandro Florio', 'Jerry Mofokeng', 'Makhaola Ndebele', 'Mary Twala', 'Sarah Weber', 'Silas Monyatse', 'Siphiwe Nzima-Ntskhe', 'Thabiso Makoto', 'Thabo Letsie', 'Tseko Monaheng']"
They Shall Not Grow Old,['Peter Jackson'],[]
Secrets & Lies,['Mike Leigh'],"['Brian Bovell', 'Claire Perkins', 'Claire Rushbrook', 'Elias Perkins McCook', 'Elizabeth Berrington', 'Emma Amos', 'Lee Ross', 'Lesley Manville', 'Marianne Jean-Baptiste', 'Michele Austin', 'Phyllis Logan', 'Ron Cook', 'Trevor Laird', 'Brenda Blethyn', 'Timothy Spall']"
Patton,['Franklin J. Schaffner'],"['Albert Dumortier', 'Bill Hickman', 'Carey Loftin', 'David Bauer', 'Frank Latimore', 'James Edwards', 'John Barrie', 'Karl Michael Vogler', 'Lawrence Dobkin', 'Michael Strong', 'Morgan Paull', 'Pat Zurica', 'Stephen Young', 'George C. Scott', 'Karl Malden']"
The Favourite,['Giorgos Lanthimos'],"['Basil Eidenbenz', 'Carolyn Saint-Pé', 'Edward Aczel', 'Hannah Morley', 'Horatio', 'Isaura Barbé-Brown', 'Jack Veal', 'James Melville', 'James Smith', 'Jenny Rainsford', 'John Locke', 'Mark Gatiss', 'Tim Ingall', 'Timothy Innes', 'Willem Dalby', 'Wilson Radjou-Pujalte', 'Basil Eidenbenz', 'Denise Mack', 'Emma Delves', 'Emma Stone', 'Faye Daveney', 'Isaura Barbé-Brown', 'Jack Veal', 'James Smith', 'Jennifer White', 'Jenny Rainsford', 'Joe Alwyn', 'John Locke', 'LillyRose Stevens', 'Mark Gatiss', 'Nicholas Hoult', 'Olivia Colman', 'Paul Swaine', 'Rachel Weisz', 'Timothy Innes', 'Wilson Radjou-Pujalte']"
The Sweet Hereafter,['Atom Egoyan'],"['Alberta Watson', 'Arsinée Khanjian', 'Bruce Greenwood', 'Caerthan Banks', 'David Hemblen', 'Earl Pastko', 'Gabrielle Rose', 'Kirsten Kieferle', 'Maury Chaykin', 'Sarah Rosen Fruitman', 'Simon Baker', 'Stephanie Morgenstern', 'Tom McCamus', 'Ian Holm', 'Sarah Polley']"
The Right Stuff,['Philip Kaufman'],"['Charles Frank', 'Donald Moffat', 'Lance Henriksen', 'Levon Helm', 'Mary Jo Deschanel', 'Barbara Hershey', 'Dennis Quaid', 'Ed Harris', 'Fred Ward', 'Kim Stanley', 'Pamela Reed', 'Sam Shepard', 'Scott Glenn', 'Scott Paulin', 'Veronica Cartwright']"
Bambi,"['Bill Roberts', 'David Hand', 'Graham Heid', 'James Algar', 'Norman Wright', 'Paul Satterfield', 'Samuel Armstrong']","['Ann Gillis', 'Donnie Dunagan', 'Eddie Holden', 'Otis Harlan', 'Sam Edwards', 'Bobette Audrey', 'Dolyn Bramston Cook', 'Hardie Albright', 'Janet Chapman', 'Jeanne Christy', 'Marion Darlington', 'Peter Behn', 'Stan Alexander', 'Thelma Boardman', 'Tim Davis']"
The Worst Person in the World,['Joachim Trier'],"['Anna Dworak', 'Deniz Kaya', 'Savannah Schei', 'Thea Stabell', 'Tumi Løvik Jakobson', 'Anders Danielsen Lie', 'Hans Olav Brenner', 'Helene Bjørnebye', 'Herbert Nordrum', 'Maria Grazia Di Meo', 'Marianne Krogh', 'Renate Reinsve', 'Silje Storstein', 'Sofia Schandy Bloch', 'Vidar Sandem']"
Bringing Up Baby,['Howard Hawks'],"['Adeline Ashbury', 'Asta', 'John Kelly', 'Ruth Adler', 'Virginia Walker', 'Barry Fitzgerald', 'Cary Grant', 'Charles Ruggles', 'Fritz Feld', 'George Irving', 'Katharine Hepburn', 'Leona Roberts', 'May Robson', 'Tala Birell', 'Walter Catlett']"
The Gatekeepers,['Dror Moreh'],"['Ami Ayalon', 'Avi Dichter', 'Avraham Shalom', 'Carmi Gillon', 'Yaakov Peri', 'Yuval Diskin', 'Ami Ayalon', 'Avi Dichter', 'Avraham Shalom', 'Carmi Gillon', 'Yaakov Peri', 'Yuval Diskin']"
Nostalgia for the Light,['Patricio Guzmán'],"['Gaspar Galaz', 'George Preston', 'Lautaro Núñez', 'Luís Henríquez', 'Miguel Lawner', 'Valentina Rodríguez', 'Vicky Saaveda', 'Víctor González', 'Violeta Berrios']"
David Copperfield,['George Cukor'],"['Elsa Lanchester', 'Fay Chaldecott', 'Jean Cadell', 'Lionel Barrymore', ""Una O'Connor"", 'Violet Kemble Cooper', 'Basil Rathbone', 'Edna May Oliver', 'Elizabeth Allan', 'Freddie Bartholomew', 'Harry Beresford', 'Herbert Mundin', 'Hugh Walpole', 'Jessie Ralph', 'John Buckler']"
Saving Private Ryan,['Steven Spielberg'],"['Adam Goldberg', 'Barry Pepper', 'Dennis Farina', 'Dylan Bruno', 'Edward Burns', 'Giovanni Ribisi', 'Jeremy Davies', 'Joerg Stadler', 'Max Martini', 'Paul Giamatti', 'Ted Danson', 'Tom Sizemore', 'Vin Diesel', 'Matt Damon', 'Tom Hanks']"
Burning,['Chang-dong Lee'],"['Bong-ryeon Lee', 'Ja-Yeon Ok', 'Joong-ok Lee', 'Seok-Chan Jeon', 'Wonhyeong Jang', 'Ah In Yoo', 'Bok-gi Min', 'Hye-ra Ban', 'Ja-Yeon Ok', 'Jong-seo Jeon', 'Joong-ok Lee', 'Mi-Kyung Cha', 'Moon Sung-Keun', 'Seong-kun Mun', 'Seung-ho Choi', 'Soo-Jeong Lee', 'Soo-Kyung Kim', 'Steven Yeun']"
Ben-Hur,['William Wyler'],"['André Morell', 'Bruno Arié', ""Cathy O'Donnell"", 'Finlay Currie', 'Fortunato Arena', 'Frank Thring', 'George Relph', 'Haya Harareet', 'Hugh Griffith', 'Martha Scott', 'Sam Jaffe', 'Terence Longdon', 'Charlton Heston', 'Jack Hawkins', 'Stephen Boyd']"
After Hours,['Martin Scorsese'],"['Bronson Pinchot', ""Catherine O'Hara"", 'Cheech Marin', 'Dick Miller', 'John Heard', 'Larry Block', 'Linda Fiorentino', 'Robert Plunket', 'Rocco Sisto', 'Teri Garr', 'Tommy Chong', 'Verna Bloom', 'Will Patton', 'Griffin Dunne', 'Rosanna Arquette']"
The Crying Game,['Neil Jordan'],"['Adrian Dunbar', 'Andrée Bernard', 'Birdy Sweeney', 'Breffni McKenna', 'Jack Carr', 'Jim Broadbent', 'Joe Savino', 'Josephine White', 'Miranda Richardson', 'Ralph Brown', 'Shar Campbell', 'Tony Slattery', 'Forest Whitaker', 'Jaye Davidson', 'Stephen Rea']"
Great Expectations,['David Lean'],"['Eileen Erskine', 'Freda Jackson', 'George Hayes', 'Hay Petrie', 'John Forrest', 'Alec Guinness', 'Bernard Miles', 'Finlay Currie', 'Francis L. Sullivan', 'Ivor Barnard', 'Jean Simmons', 'John Mills', 'Martita Hunt', 'Tony Wager', 'Valerie Hobson']"
Winter's Bone,['Debra Granik'],"['Ashlee Thompson', 'Beth Domann', 'Casey MacLaren', 'Cody Brown', 'Dale Dickey', 'Isaiah Stone', 'Kevin Breznahan', 'Lauren Sweetser', 'Shelley Waggener', 'Tate Taylor', 'Valerie Richards', 'William White', 'Garret Dillahunt', 'Jennifer Lawrence', 'John Hawkes']"
Gett: The Trial of Viviane Amsalem,"['Ronit Elkabetz', 'Shlomi Elkabetz']","['Abraham Celektar', 'Albert Iluz', 'Dalia Beger', 'David Ohayon', 'Eli Gornstein', 'Evelin Hagoel', 'Gabi Amrani', 'Keren Mor', 'Menashe Noy', 'Rami Danon', 'Roberto Pollack', 'Ronit Elkabetz', 'Sasson Gabai', 'Shmil Ben Ari', 'Simon Abkarian']"
I Called Him Morgan,['Kasper Collin'],"['Al Harrison', 'Albert Tootie Heath', 'Bennie Maupin', 'Billy Harper', 'Charli Persip', 'Helen Morgan', 'Judith Johnson', 'Jymie Merritt', 'Larry Reni Thomas', 'Larry Ridley', 'Lee Morgan', 'Lena Sherrod', 'Paul West', 'Ron St. Clair', 'Wayne Shorter']"
Close Encounters of the Third Kind,['Steven Spielberg'],"['Adrienne Campbell', 'Bob Balaban', 'Cary Guffey', 'J. Patrick McNamara', 'Justin Dreyfuss', 'Lance Henriksen', 'Melinda Dillon', 'Merrill Connally', 'Philip Dodds', 'Roberts Blossom', 'Shawn Bishop', 'Warren J. Kemmerling', 'François Truffaut', 'Richard Dreyfuss', 'Teri Garr']"
The Godfather: Part II,['Francis Ford Coppola'],"['Bruno Kirby', 'Francesca De Sapio', 'Frank Sivero', 'G.D. Spradlin', 'Gastone Moschin', 'John Cazale', 'Lee Strasberg', 'Michael V. Gazzo', 'Richard Bright', 'Talia Shire', 'Tom Rosqui', 'Al Pacino', 'Diane Keaton', 'Robert De Niro', 'Robert Duvall']"
The Hustler,['Robert Rossen'],"['Alexander Rose', 'Carl York', 'Carolyn Coates', 'Gordon B. Clarke', 'Vincent Gardenia', 'Clifford A. Pellow', 'George C. Scott', 'Jackie Gleason', 'Jake LaMotta', 'Michael Constantine', 'Murray Hamilton', 'Myron McCormick', 'Paul Newman', 'Piper Laurie', 'Stefan Gierasch']"
L.A. Confidential,['Curtis Hanson'],"['Danny DeVito', 'David Strathairn', 'Elisabeth Granli', 'Graham Beckel', 'James Cromwell', 'Matt McCoy', 'Paolo Seganti', 'Paul Guilfoyle', 'Ron Rifkin', 'Sandra Taylor', 'Steve Rankin', 'Guy Pearce', 'Kevin Spacey', 'Kim Basinger', 'Russell Crowe']"
Procession,['Robert Greene'],"['Dan Laurine', 'Ed Gavagan', 'Joe Eldred', 'Michael Sandridge', 'Mike Foreman', 'Tom Viviano']"
Bloody Sunday,['Paul Greengrass'],"['Allan Gildea', 'Carmel McCallion', 'Christopher Villiers', 'Declan Duddy', 'Edel Frazer', 'Gerard Crossan', 'Gerry Hammond', 'James Hewitt', 'Jason Stammers', 'Joanne Lindsay', 'Mary Moulds', 'Mike Edwards', 'James Nesbitt', 'Nicholas Farrell', 'Tim Pigott-Smith']"
My Voyage to Italy,['Martin Scorsese'],['Martin Scorsese']
Phantom Thread,['Paul Thomas Anderson'],"['Alexandra Moloney', 'Amber Brabant', 'Amy Cunningham', 'Andrew G. Ogleby', 'Calum Delaney', 'Camilla Rutherford', 'Caroline Garnell', 'Cedric Tylleman', 'Colin Wigglesworth', 'Cris Haris', 'Daniel Day-Lewis', 'Darren Talbot', 'Dave Simon', 'David Charles-Cully', 'Fraser Delaney', 'Geneva Corlett', 'Gino Picciano', 'Harriet Leitch', 'Ingrid Sophie Schram', 'Jane Perry', 'Jason Redshaw', 'Joseph Callaghan', 'Juliet Glaves', 'Kelly Schembri', 'Khristopher MacLeod', 'Lesley Manville', 'Lujza Richter', 'Martin Dew', 'Michael Gabbitas', 'Neil Broome', 'Niki Angus-Campbell', 'Paul Carolan', 'Pip Phillips', 'Rebecca McSwan', 'Richard Graham', 'Sarah Lamesch', 'Vicky Krieps', 'Bern Collaco', 'Camilla Rutherford', 'Cedric Tylleman', 'Daniel Day-Lewis', 'Dave Simon', 'Dinah Nicholson', 'Elli Banks', 'Harriet Leitch', 'Ingrid Sophie Schram', 'Jack Gordon', 'Jane Perry', 'Jason Redshaw', 'Joan Brown', 'Julie Duck', 'Kelly Schembri', 'Lesley Manville', 'Maryanne Frost', 'Pip Phillips', 'Richard Graham', 'Sarah Lamesch', 'Sue Clark', 'Vicky Krieps']"
Goodfellas,['Martin Scorsese'],"['Catherine Scorsese', 'Charles Scorsese', 'Chuck Low', 'Frank DiLeo', 'Frank Sivero', 'Frank Vincent', 'Gina Mastrogiacomo', 'Henny Youngman', 'Mike Starr', 'Tony Darrow', 'Joe Pesci', 'Lorraine Bracco', 'Paul Sorvino', 'Ray Liotta', 'Robert De Niro']"
Wojnarowicz,['Chris McKim'],"['Barry Blinderman', 'David Wojnarowicz', 'Fran Lebowitz', 'Kiki Smith', 'Nan Goldin', 'Peter Hujar', 'Richard Kern', 'Stephen Koch']"
Hamilton,['Thomas Kail'],"['Ariana DeBose', 'Carleigh Bettiol', 'Ephraim Sykes', 'Hope Easterbrook', 'Jon Rua', 'Neil Haskell', 'Phillipa Soo', 'Sasha Hutchings', 'Sydney James Harcourt', 'Thayne Jasperson', 'Anthony Ramos', 'Chris Jackson', 'Daveed Diggs', 'Emmy Raver-Lampman', 'Jasmine Cephas Jones', 'Jonathan Groff', 'Leslie Odom Jr.', 'Lin-Manuel Miranda', 'Okieriete Onaodowan', 'Phillipa Soo', 'Renee Goldsberry']"
Paths of the Soul,['Yang Zhang'],[]
It's Such a Beautiful Day,['Don Hertzfeldt'],['Don Hertzfeldt']
My Perestroika,['Robin Hessman'],[]
This Is Not a Film,"['Jafar Panahi', 'Mojtaba Mirtahmasb']",['Jafar Panahi']
The Birds,['Alfred Hitchcock'],"['Doodles Weaver', 'John McGovern', 'Karl Swenson', 'Malcolm Atterbury', 'Richard Deacon', 'Charles McGraw', 'Ethel Griffies', 'Jessica Tandy', 'Joe Mantell', 'Lonny Chapman', 'Rod Taylor', 'Ruth McDevitt', 'Suzanne Pleshette', 'Tippi Hedren', 'Veronica Cartwright']"
To Have and Have Not,['Howard Hawks'],"['Aldo Nadi', 'Audrey Armstrong', 'Eugene Borden', 'Joy Barlow', 'Juliette Ball', 'Dan Seymour', 'Dolores Moran', 'Hoagy Carmichael', 'Humphrey Bogart', 'Lauren Bacall', 'Marcel Dalio', 'Sheldon Leonard', 'Walter Brennan', 'Walter Sande', 'Walter Szurovy']"
Finding Nemo,"['Andrew Stanton', 'Lee Unkrich']","['Allison Janney', 'Andrew Stanton', 'Austin Pendleton', 'Bob Peterson', 'Brad Garrett', 'Elizabeth Perkins', 'Geoffrey Rush', 'Joe Ranft', 'Nicholas Bird', 'Stephen Root', 'Vicki Lewis', 'Willem Dafoe', 'Albert Brooks', 'Alexander Gould', 'Ellen DeGeneres']"
Topsy-Turvy,['Mike Leigh'],"['Adam Searle', 'Dexter Fletcher', 'Francis Lee', 'Geoffrey Hutchings', 'Kate Doherty', 'Lesley Manville', 'Martin Savage', 'Roger Heathcott', 'Stefan Bednarczyk', 'Sukie Smith', 'Timothy Spall', 'Wendy Nottingham', 'William Neenan', 'Allan Corduner', 'Jim Broadbent']"
Samurai Rebellion,['Masaki Kobayashi'],"['Emi Yamada', 'Hideo Fukuhara', 'Jun Hamamura', 'Masao Mishima', 'Takamaru Sasaki', 'Etsuko Ichihara', 'G', 'Isao Yamagata', 'Michiko Ôtsuka', 'Shigeru K', 'Tatsuo Matsumura', 'Tatsuya Nakadai', 'Tatsuyoshi Ehara', 'Toshirô Mifune', 'Yôko Tsukasa']"
King Kong,"['Ernest B. Schoedsack', 'Merian C. Cooper']","['Ed Allen', 'Etta Mae Allen', 'Frank Angel', 'James Adamson', 'Van Alder', 'Bruce Cabot', 'Fay Wray', 'Frank Reicher', 'James Flavin', 'King Kong', 'Noble Johnson', 'Robert Armstrong', 'Sam Hardy', 'Steve Clemente', 'Walter Ackerman']"
Small Axe: Mangrove,['Steve McQueen'],"['James Hillier', 'Jon Prophet', 'Karl Farrer', 'Michelle Greenidge', 'Robert Jarvis', 'Gary Beadle', 'Gershwyn Eustache Jnr', 'Jay Simpson', 'Jodhi May', 'Joshua Viner', 'Letitia Wright', 'Malachi Kirby', 'Rochenda Sandall', 'Sam Spruell', 'Shaun Parkes']"
The Incredibles,['Brad Bird'],"['Dominique Louis', 'Eli Fucile', 'Jean Sincere', 'Lou Romano', 'Maeve Andrews', 'Michael Bird', 'Sarah Vowell', 'Spencer Fox', 'Teddy Newton', 'Wallace Shawn', 'Wayne Canney', 'Craig T. Nelson', 'Holly Hunter', 'Jason Lee', 'Samuel L. Jackson']"
Before Sunset,['Richard Linklater'],"['Albert Delpy', 'Denis Evrard', 'Diabolo', 'Louise Lemoine Torres', 'Mariane Plasteig', 'Marie Pillet', 'Rodolphe Pauly', 'Vernon Dobtcheff', 'Ethan Hawke', 'Julie Delpy']"
Being John Malkovich,['Spike Jonze'],"['Byrne Piven', 'Eric Weinstein', 'Judith Wetzell', 'K.K. Dodds', 'Kevin Carroll', 'Madison Lanc', 'Mary Kay Place', 'Ned Bellamy', 'Octavia Spencer', 'Orson Bean', 'Reginald C. Hayes', 'Cameron Diaz', 'Catherine Keener', 'John Cusack', 'John Malkovich']"
A Prophet,['Jacques Audiard'],"['Adel Bencherif', 'Antoine Basler', 'Foued Nassah', 'Frédéric Graziani', 'Gilles Cohen', 'Hichem Yacoubi', 'Jean-Emmanuel Pagni', 'Jean-Philippe Ricci', 'Leïla Bekhti', 'Niels Arestrup', 'Pierre Leccia', 'Rabah Loucif', 'Reda Kateb', 'Slimane Dazi', 'Tahar Rahim']"
Hard to Be a God,['Aleksei German'],"['Aleksandr Chutko', 'Aleksandr Ilin', 'Algimantas Maceina', 'Dmitriy Vladimirov', 'Evgeniy Gerchakov', 'Igor Volkov', 'Juris Laucinsh', 'Laura Lauri', 'Leonid Yarmolnik', 'Natalya Moteva', 'Oleg Botin', 'Pyotr Merkurev', 'Remigijus Bilinskas', 'Yuriy Tsurilo']"
Almost Famous,['Cameron Crowe'],"['Anna Paquin', 'Fairuza Balk', 'Frances McDormand', 'Jason Lee', 'Jimmy Fallon', 'John Fedevich', 'Kate Hudson', 'Liz Stauber', 'Mark Kozelek', 'Michael Angarano', 'Noah Taylor', 'Patrick Fugit', 'Philip Seymour Hoffman', 'Zooey Deschanel', 'Billy Crudup']"
Paths of Glory,['Stanley Kubrick'],"['Adolphe Menjou', 'Bert Freed', 'Christiane Kubrick', 'Emile Meyer', 'Fred Bell', 'George Macready', 'Jerry Hausner', 'Joe Turkel', 'Kem Dibbs', 'Peter Capell', 'Richard Anderson', 'Timothy Carey', 'Wayne Morris', 'Kirk Douglas', 'Ralph Meeker']"
Cold War,['Pawel Pawlikowski'],"['Adam Szyszkowski', 'Aleksandra Kacprzak', 'Aloïse Sauvage', 'Anna Zagórska', 'Izabela Andrzejak', 'Martin Budny', 'Philip Lenkowsky', 'Tomasz Markiewicz', 'Adam Ferency', 'Adam Szyszkowski', 'Adam Woronowicz', 'Agata Kulesza', 'Borys Szyc', 'Cédric Kahn', 'Drazen Sivak', 'Giorgio Rayzacher', 'Jeanne Balibar', 'Joanna Kulig', 'Slavko Sobin', 'Tomasz Kot']"
Big Men,['Rachel Boynton'],[]
American Splendor,"['Robert Pulcini', 'Shari Springer Berman']","['Barbara Brown', 'Cameron Carter', 'Chris Ambrose', 'Daniel Tay', 'Danny Hoch', 'Earl Billings', 'James Urbaniak', 'Joey Krajcar', 'Josh Hutcherson', 'Larry John Meyers', 'Mary Faktor', 'Vivienne Benesch', 'Harvey Pekar', 'Paul Giamatti', 'Shari Springer Berman']"
Hannah and Her Sisters,['Woody Allen'],"['Carrie Fisher', 'Christian Clemenson', 'J.T. Walsh', 'John Turturro', 'Julia Louis-Dreyfus', 'Julie Kavner', 'Lewis Black', 'Lloyd Nolan', ""Maureen O'Sullivan"", 'Max von Sydow', 'Barbara Hershey', 'Dianne Wiest', 'Mia Farrow', 'Michael Caine', 'Woody Allen']"
The Circus,['Charles Chaplin'],"['Chester A. Bachman', 'Eugene Barry', 'Heinie Conklin', 'Jack Bernard', 'Stanley Blystone', 'Al Ernest Garcia', 'Albert Austin', 'Charles Chaplin', 'George Davis', 'Harry Crocker', 'Henry Bergman', 'John Rand', 'Merna Kennedy', 'Steve Murphy', 'Tiny Sandford']"
The Tale,['Jennifer Fox'],"['Emily Sandifer', 'Gretchen Koerner', 'Isabella Amara', 'Isabelle Nélisse', 'Jaqueline Fleming', 'Jessica Sarah Flaum', 'Madison David', 'Matthew Rauch', 'Noah Lomax', 'Thom Bishops', 'Tina Parker', 'Chelsea Alden', 'Common', 'Elizabeth Debicki', 'Ellen Burstyn', 'Frances Conroy', 'Isabella Amara', 'Isabelle Nélisse', 'Jason Ritter', 'John Heard', 'Laura Allen', 'Laura Dern']"
Licorice Pizza,['Paul Thomas Anderson'],"['Alana Haim', 'Anthony Molinari', 'Bottara Angele', 'Cooper Hoffman', 'Craig Stark', 'Emily Althaus', 'Fatimah Hassan', 'Grace Kennedy-Piehl', 'Jeff Willy', 'Joseph Cross', 'Louis Delavenne', 'Alana Haim', 'Anthony Molinari', 'Ben Safdie', 'Ben Stiller', 'Bradley Cooper', 'Charlotte Townsend', 'Craig Stark', ""Deana Molle'"", 'Emily Althaus', 'Emma Dumont', 'John C. Reilly', 'Joseph Cross', 'Mary Elizabeth Ellis', 'Maya Rudolph', 'Nate Mann', 'Sean Penn', 'Skyler Gisondo', 'Tom Waits', 'Zoe McLane']"
Paterson,['Jim Jarmusch'],"['Adam Driver', 'Barry Shabaka Henley', 'Brian McCarthy', 'Chasten Harmon', 'Dominic Liriano', 'Frank Harts', 'Golshifteh Farahani', 'Helen-Jean Arthur', 'Jaden Michael', 'Jared Gilman', 'Joan Kendall', 'Johnnie Mae', 'Kacey Cockett', 'Kara Hayward', 'Luis Da Silva Jr.', 'Method Man', 'Nellie', 'Owen Asztalos', 'Rizwan Manji', 'Sterling Jerins', 'Trevor Parham', 'Troy T. Parham', 'William Jackson Harper', 'Adam Driver', 'Golshifteh Farahani']"
Gosford Park,['Robert Altman'],"['Bob Balaban', 'Camilla Rutherford', 'Charles Dance', 'Claudie Blakley', 'Geraldine Somerville', 'James Wilby', 'Jeremy Northam', 'Kristin Scott Thomas', 'Laurence Fox', 'Michael Gambon', 'Natasha Wightman', 'Tom Hollander', 'Trent Ford', 'Maggie Smith', 'Ryan Phillippe']"
The Fits,['Anna Rose Holmer'],"['Alexis Neblett', 'Antonio A.B. Grant Jr.', ""Da'Sean Minor"", 'Inayah Rodgers', 'Lauren Gibson', 'Makyla Burnam', 'Royalty Hightower', 'Royalty Hightower']"
